Loaded pretrained model gpt2-small into HookedTransformer
Computing results for 0.1% of edges (N=32)
Computing results for 0.2% of edges (N=64)
Computing results for 0.5% of edges (N=162)
Computing results for 1.0% of edges (N=324)
Computing results for 2.0% of edges (N=649)
Computing results for 5.0% of edges (N=1624)
Computing results for 10.0% of edges (N=3249)
Computing results for 20.0% of edges (N=6498)
Computing results for 50.0% of edges (N=16245)
Computing results for 100% of edges (N=32491)
